FILENAME, s1 SENS, s1 +PRED, s2 SENS, s2 +PRED
s20301,0.9765496961012933,0.9997986499961647,0.9878534168703584,0.7583777293675272
s20311,0.9886063025015084,0.983823478471717,0.9998027567642828,0.8789192386936211
s20321,0.9983356720947688,0.9996950023964097,0.9714453545671116,0.9697575171844629
s20331,0.999690542502797,0.9997738391401126,0.977861886738556,0.9881529413179703
s20341,0.9993616278489851,0.9991921972235519,0.9989626452546008,0.9998702128509245
s20351,0.9999916424297128,1.0,0.9988048674489353,0.9999832651387739
s20361,0.9999337673151162,0.9999148453022991,0.9998959200666112,0.9999337648082964
s20371,0.9999477806788512,0.9999060091484429,0.9990391644908616,0.9998954718401137
s20381,0.9995921221302878,0.9705982196741099,0.992852425902187,0.9730367663154689
s20391,0.9998444321286546,0.9999416563754996,0.9997472022090638,0.9997860858573582
s20401,0.9995991362031733,0.9998059935072494,0.9998706890977979,0.9999353403683012
s20411,0.9999881946002102,0.9999527800731909,1.0,0.9999409764850317
s20421,0.9998494073101994,0.9999139414802065,0.999741841103199,0.9999462059022884
s20431,0.9993165597570858,0.9961653381607248,0.9998730753834588,0.9999511790265098
s20441,0.9999033577802356,0.9970234271275001,0.9999785239511635,0.9970556745182013
s20451,0.99980693884504,0.995049504950495,0.9999545738458918,0.9755262574783957
s20461,0.9999696577392992,0.9999898857085061,0.996247673760013,0.9875380975296759
s20471,0.9995663599385965,0.999644387392232,0.9993495399078949,0.9996703277636076
s20481,0.9979880815701712,0.996397419242148,0.977540867093106,0.9739838106962708
s20491,0.9790100153685882,0.9981491608126867,0.9942754587368877,0.9889710785772179
s20501,0.9995375722543353,0.9998177804254126,0.9989840602557366,0.9996844872918492
s20511,0.8634358038272306,0.986860466722854,0.9693313830494542,0.9765442322681216
s20521,0.9589439311882765,0.9858757062146892,0.9499575236274822,0.7072018656863908
s20531,0.9989489975053127,0.998960534977998,0.9990644922849488,0.9974976937269373
s20541,0.9983673611171419,0.9990788135814164,0.9943031324087502,0.9978995258680797
s20551,0.9969094396247603,0.9757990778748322,0.9979727513937334,0.9981413747863078
s20561,0.9977086970322171,0.9984812086799421,0.9805090461831455,0.9900842339319518
s20571,0.9800152863951084,0.9993581367627169,0.9761604774535809,0.920040833758685
